year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2017,1,10,21,1/11/2017 2:00,iPhone,46380,15405,Picture/link,No,Yes
2017,1,10,20,1/11/2017 1:19,Android,96415,30156,No picture/link,Yes,No
2017,1,10,17,1/10/2017 22:30,iPhone,44213,10686,Picture/link,No,No
2017,1,10,15,1/10/2017 20:50,iPhone,50611,12059,Picture/link,No,No
2017,1,10,10,1/10/2017 15:26,iPhone,42797,11404,Picture/link,No,No
2017,1,9,21,1/10/2017 2:20,iPhone,94618,23530,Picture/link,Yes,Yes
2017,1,9,17,1/9/2017 22:32,iPhone,125750,25490,Picture/link,No,No
2017,1,9,9,1/9/2017 14:16,Android,111724,23981,No picture/link,Yes,No
2017,1,9,9,1/9/2017 14:14,Android,102825,23877,No picture/link,No,No
2017,1,9,6,1/9/2017 11:43,Android,70673,16504,No picture/link,Yes,No
2017,1,9,6,1/9/2017 11:36,Android,86005,21924,No picture/link,No,No
2017,1,9,6,1/9/2017 11:27,Android,125854,38551,No picture/link,No,No
2017,1,9,6,1/9/2017 11:17,Android,38470,7439,No picture/link,Yes,No
2017,1,8,11,1/8/2017 16:36,Android,29218,5507,Picture/link,Yes,No
2017,1,7,21,1/8/2017 2:07,Android,87015,17700,No picture/link,Yes,No
2017,1,7,18,1/7/2017 23:54,Android,66531,12387,No picture/link,No,No
2017,1,7,10,1/7/2017 15:21,Android,71606,16712,No picture/link,Yes,No
2017,1,7,10,1/7/2017 15:10,Android,80035,19091,No picture/link,No,No
2017,1,7,10,1/7/2017 15:02,Android,103173,30115,No picture/link,Yes,No
2017,1,7,7,1/7/2017 12:03,Android,85798,20206,No picture/link,Yes,No
2017,1,7,6,1/7/2017 11:56,Android,70529,18677,No picture/link,Yes,No
2017,1,6,22,1/7/2017 3:53,Android,69194,16764,No picture/link,Yes,No
2017,1,6,19,1/7/2017 0:07,iPhone,49207,7869,Picture/link,Yes,No
2017,1,6,11,1/6/2017 16:51,iPhone,94606,26427,No picture/link,No,No
2017,1,6,9,1/6/2017 14:18,iPhone,35637,6595,No picture/link,No,No
2017,1,6,7,1/6/2017 12:42,Android,41934,9022,No picture/link,No,No
2017,1,6,7,1/6/2017 12:34,Android,39824,9542,No picture/link,No,No
2017,1,6,7,1/6/2017 12:05,Android,67485,14703,No picture/link,Yes,No
2017,1,6,6,1/6/2017 11:45,Android,42439,8436,No picture/link,No,No
2017,1,6,6,1/6/2017 11:39,Android,52427,10783,No picture/link,No,No
2017,1,6,6,1/6/2017 11:19,Android,67262,19548,No picture/link,Yes,No
2017,1,5,19,1/6/2017 0:40,Android,72486,21122,No picture/link,No,No
2017,1,5,19,1/6/2017 0:30,Android,58355,19107,No picture/link,No,No
2017,1,5,19,1/6/2017 0:24,Android,69519,21023,No picture/link,Yes,No
2017,1,5,13,1/5/2017 18:14,Android,110144,33038,No picture/link,Yes,No
2017,1,5,8,1/5/2017 13:45,Android,69260,15662,No picture/link,Yes,No
2017,1,5,8,1/5/2017 13:25,Android,63747,16658,No picture/link,No,No
2017,1,5,7,1/5/2017 12:06,Android,79715,16895,No picture/link,Yes,No
2017,1,5,7,1/5/2017 12:01,Android,52748,12517,No picture/link,Yes,No
2017,1,5,6,1/5/2017 11:57,Android,54399,13365,No picture/link,No,No
2017,1,4,9,1/4/2017 14:26,Android,55718,13856,No picture/link,Yes,No
2017,1,4,9,1/4/2017 14:01,Android,47432,11439,No picture/link,No,No
2017,1,4,8,1/4/2017 13:55,Android,47168,11370,No picture/link,No,No
2017,1,4,8,1/4/2017 13:31,Android,47580,10982,No picture/link,Yes,No
2017,1,4,8,1/4/2017 13:27,Android,43547,10490,No picture/link,No,No
2017,1,4,8,1/4/2017 13:19,Android,88327,20026,No picture/link,No,No
2017,1,4,8,1/4/2017 13:10,Android,43009,15121,Picture/link,No,Yes
2017,1,4,7,1/4/2017 12:22,Android,62376,18517,No picture/link,Yes,No
2017,1,3,20,1/4/2017 1:14,Android,81920,23997,No picture/link,Yes,No
2017,1,3,18,1/3/2017 23:58,Android,59480,14959,No picture/link,No,No
2017,1,3,13,1/3/2017 18:44,iPhone,54223,14369,Picture/link,No,No
2017,1,3,12,1/3/2017 17:20,Android,84463,21074,No picture/link,No,No
2017,1,3,12,1/3/2017 17:00,iPhone,55696,12967,Picture/link,No,No
2017,1,3,11,1/3/2017 16:44,iPhone,53945,15971,Picture/link,No,No
2017,1,3,10,1/3/2017 15:07,Android,43625,9745,No picture/link,Yes,Yes
2017,1,3,10,1/3/2017 15:03,Android,43892,11080,No picture/link,No,No
2017,1,3,7,1/3/2017 12:51,Android,54405,12870,No picture/link,Yes,No
2017,1,3,7,1/3/2017 12:46,Android,59960,14774,No picture/link,No,No
2017,1,3,7,1/3/2017 12:30,Android,74593,19308,No picture/link,Yes,No
2017,1,2,18,1/2/2017 23:47,Android,65866,17924,No picture/link,Yes,No
2017,1,2,18,1/2/2017 23:05,Android,93571,26726,No picture/link,Yes,No
2017,1,2,13,1/2/2017 18:44,Android,64068,13764,No picture/link,No,No
2017,1,2,13,1/2/2017 18:37,Android,48270,9255,No picture/link,No,No
2017,1,2,13,1/2/2017 18:32,Android,14136,4030,Picture/link,Yes,No
2017,1,2,12,1/2/2017 17:31,Android,64638,17800,No picture/link,Yes,No
2017,1,2,9,1/2/2017 14:40,Android,126933,29933,No picture/link,Yes,No
2017,1,1,0,1/1/2017 5:00,iPhone,128219,33346,Picture/link,Yes,Yes
2016,12,31,13,12/31/2016 18:58,iPhone,55770,9553,Picture/link,Yes,No
2016,12,31,8,12/31/2016 13:17,Android,352038,142836,No picture/link,Yes,No
2016,12,30,17,12/30/2016 22:18,Android,84618,23322,No picture/link,Yes,No
2016,12,30,14,12/30/2016 19:46,iPhone,25365,7380,Picture/link,No,No
2016,12,30,14,12/30/2016 19:41,Android,96736,32731,No picture/link,Yes,No
2016,12,29,9,12/29/2016 14:54,iPhone,45773,11368,Picture/link,No,No
2016,12,28,17,12/28/2016 22:06,iPhone,52033,13971,Picture/link,No,No
2016,12,28,9,12/28/2016 14:25,Android,118163,34718,No picture/link,Yes,No
2016,12,28,9,12/28/2016 14:19,Android,107009,30381,Picture/link,No,No
2016,12,28,9,12/28/2016 14:07,Android,118371,31947,No picture/link,Yes,No
2016,12,27,22,12/28/2016 3:10,Android,78792,19254,No picture/link,Yes,No
2016,12,27,16,12/27/2016 21:52,Android,100253,23329,No picture/link,Yes,No
2016,12,26,22,12/27/2016 3:06,Android,67683,15300,No picture/link,Yes,No
2016,12,26,21,12/27/2016 2:53,Android,71866,17494,No picture/link,Yes,No
2016,12,26,18,12/26/2016 23:32,iPhone,128834,30266,No picture/link,Yes,No
2016,12,26,16,12/26/2016 21:41,Android,78011,22211,No picture/link,Yes,No
2016,12,26,16,12/26/2016 21:36,Android,91640,22355,No picture/link,Yes,No
2016,12,25,12,12/25/2016 17:48,Android,213276,50551,No picture/link,Yes,No
2016,12,25,7,12/25/2016 12:46,iPhone,152185,42839,Picture/link,No,Yes
2016,12,24,16,12/24/2016 21:44,iPhone,84834,22199,Picture/link,No,Yes
2016,12,24,16,12/24/2016 21:33,Android,83801,19906,No picture/link,Yes,No
2016,12,24,15,12/24/2016 20:59,Android,63103,16744,No picture/link,Yes,No
2016,12,23,19,12/24/2016 0:13,Android,113462,31944,No picture/link,Yes,No
2016,12,23,16,12/23/2016 21:23,Android,66217,18104,No picture/link,Yes,No
2016,12,23,16,12/23/2016 21:17,Android,52394,18923,No picture/link,No,No
2016,12,23,15,12/23/2016 20:14,iPhone,99728,34103,No picture/link,No,No
2016,12,23,6,12/23/2016 11:58,Android,64794,14647,No picture/link,Yes,No
2016,12,23,6,12/23/2016 11:53,Android,54421,15592,No picture/link,No,No
2016,12,22,20,12/23/2016 1:59,Android,120752,31586,No picture/link,Yes,No
2016,12,22,17,12/22/2016 22:26,Android,62950,15039,No picture/link,Yes,No
2016,12,22,11,12/22/2016 16:50,Android,73216,21375,No picture/link,No,No
2016,12,22,11,12/22/2016 16:41,Android,74373,19550,No picture/link,No,No
2016,12,22,8,12/22/2016 13:37,iPhone,35873,10411,Picture/link,No,No
2016,12,18,16,12/18/2016 21:54,Android,136058,36632,No picture/link,Yes,No
2016,12,17,19,12/18/2016 0:59,Android,65895,18055,No picture/link,Yes,No
2016,12,17,19,12/18/2016 0:12,iPhone,54979,13006,Picture/link,Yes,Yes
2016,12,17,8,12/17/2016 13:57,iPhone,61132,19495,No picture/link,No,No
2016,12,17,8,12/17/2016 13:20,Android,40290,8239,No picture/link,Yes,No
2016,12,17,8,12/17/2016 13:07,Android,35282,7111,No picture/link,Yes,Yes
2016,12,17,8,12/17/2016 13:05,Android,36105,6427,No picture/link,Yes,No
2016,12,16,22,12/17/2016 3:52,iPhone,43419,11091,Picture/link,Yes,Yes
2016,12,16,11,12/16/2016 16:54,iPhone,27853,7050,Picture/link,No,Yes
2016,12,16,6,12/16/2016 11:09,Android,109715,33701,No picture/link,No,No
2016,12,15,20,12/16/2016 1:32,iPhone,38248,8932,Picture/link,Yes,No
2016,12,15,17,12/15/2016 22:27,iPhone,22312,5585,Picture/link,Yes,Yes
2016,12,15,9,12/15/2016 14:24,iPhone,124558,40876,No picture/link,No,No
2016,12,15,8,12/15/2016 13:28,Android,61065,13834,No picture/link,Yes,No
2016,12,15,8,12/15/2016 13:09,Android,57235,10774,No picture/link,Yes,No
2016,12,15,8,12/15/2016 13:05,Android,37514,8948,No picture/link,Yes,No
2016,12,13,22,12/14/2016 3:48,iPhone,42777,9715,Picture/link,Yes,No
2016,12,13,16,12/13/2016 21:33,iPhone,23450,6267,Picture/link,Yes,Yes
