"Date","GOOG","SBUX","Mkt_Minus_Rf","SMB","HML","RF","Mom"
2008-10-10,0.00917990622993226,0.00635770029968197,-0.0095,0.045,0.0301,4e-05,-0.0036
2008-10-13,0.147650595375096,0.0595668067912376,0.1135,-0.0294,-0.0201,4e-05,-0.0134
2008-10-14,-0.0480551741102557,-0.0374785141673112,-0.0086,-0.0214,0.0448,4e-05,-0.0195
2008-10-15,-0.0649003933964654,-0.10442488656731,-0.0878,0.0011,0.0082,4e-05,0.0191
2008-10-16,0.0408349791240068,0.0434782711016632,0.0432,0.0192,-0.0156,4e-05,0.0144
2008-10-17,0.0552943326220052,-0.0104166690159636,-0.0041,-0.0109,-0.0082,4e-05,-0.0066
2008-10-20,0.0181994374795744,0.0650718680403048,0.0455,-0.0122,-0.0085,4e-05,0.007
2008-10-21,-0.0436834178957426,-0.0557057948971215,-0.0295,0.002,0.0054,4e-05,0.0049
2008-10-22,-0.0195176465658324,-0.04947637127503,-0.0576,0.0075,7e-04,4e-05,0.0118
2008-10-23,-0.00941876949395881,0.0270270141405009,0.0029,-0.0331,-0.008,4e-05,0.0184
2008-10-24,-0.0369834547128309,-0.0565303601265186,-0.0328,-0.0022,-0.0041,4e-05,0.0101
2008-10-27,-0.0288838206606112,-0.00929718973323357,-0.0336,-0.0083,0.0039,4e-05,0.0046
2008-10-28,0.119153774426847,0.132428912653794,0.0977,-0.0342,0.0046,4e-05,-0.0162
2008-10-29,-0.0291524973477502,0.0432784572863563,-0.0047,0.0251,-0.0132,4e-05,-0.01
2008-10-30,0.00472066155105355,0.113856949978969,0.0299,0.0181,-0.0061,4e-05,-0.0097
2008-10-31,-0.000917451950572912,0.0404123039736883,0.0188,0.0267,0.0202,4e-05,-0.0042
2008-11-03,-0.0358137234337219,-0.0456968714396958,-5e-04,0.0024,0.0054,1e-05,-0.0038
2008-11-04,0.0590205325201438,-0.00718288394215816,0.0357,-0.0256,0.0017,1e-05,-0.0254
2008-11-05,-0.0673134389746742,-0.0618973191038358,-0.0505,-5e-04,-0.0154,1e-05,0.0215
2008-11-06,-0.0321996345833323,-0.0497000215101251,-0.0483,0.0147,-0.0027,1e-05,0.0318
2008-11-07,-0.000241563846619997,-0.0486920719417879,0.0262,-0.0119,-0.0079,1e-05,-0.0022
2008-11-10,-0.0373255941961345,-0.0331756646476677,-0.0132,-0.0099,-0.0199,1e-05,0.0179
2008-11-11,-0.0229625403350739,-0.0205882002702441,-0.0225,5e-04,0.0011,1e-05,0.0275
2008-11-12,-0.0656906454274496,-0.0660658491428779,-0.0514,-0.0067,-0.0106,1e-05,0.0347
2008-11-13,0.072439863320531,-0.00214371574502803,0.0679,0.0075,3e-04,1e-05,-0.0189
2008-11-14,-0.00660087342565929,-0.0751881699593691,-0.0427,-0.0227,-5e-04,1e-05,0.0081
2008-11-17,-0.0319334404757922,0.00348447283828945,-0.0243,0.0154,-0.0174,1e-05,0.0268
2008-11-18,-0.00899638322860374,-0.0300925249560475,0.007,-0.0148,-0.0064,1e-05,0.0144
2008-11-19,-0.0579651895973206,-0.0489261523516822,-0.0629,-0.0071,-0.0296,1e-05,0.0399
2008-11-20,-0.0735955491555647,-0.100376308436056,-0.066,0.0099,-0.0249,1e-05,0.0461
2008-11-21,0.0110571791267009,0.0920502286623848,0.0611,-0.0151,-0.0221,1e-05,-0.0047
2008-11-24,-0.019014510506123,0.0791827291878697,0.0627,-0.001,0.0472,1e-05,-0.0743
2008-11-25,0.0955950769363787,-0.0284021904165191,0.0094,0.0048,0.022,1e-05,-0.0196
2008-11-26,0.0355965022031606,0.0694270472234231,0.0388,0.0185,0.0021,1e-05,-0.0517
2008-11-28,0.00297856419350162,0.0170842148007315,0.0106,-0.0021,0.0172,1e-05,-0.024
2008-12-01,-0.0920603681905726,-0.109742173912928,-0.0895,-0.015,-0.0363,0,0.0432
2008-12-02,0.0342869810614346,0.0729558486066757,0.0397,0.0111,0.0245,0,-0.0165
2008-12-03,0.0157027949581576,0.012895665641331,0.0263,-5e-04,0.015,0,-0.0046
2008-12-04,-0.0182156223244933,-0.00347237344732776,-0.029,0.002,0.012,0,0.008
2008-12-05,0.0351752834028265,0.0592332721376883,0.0375,0.0044,0.0192,0,-0.0189
2008-12-08,0.0638050742138223,0.052632060000209,0.038,-2e-04,4e-04,0,-0.0457
2008-12-09,0.0127767907008824,-0.0343752519620479,-0.0223,-0.0087,-0.011,0,-0.0057
2008-12-10,0.0093146278072409,0.0280476622708972,0.012,0.01,-0.0093,0,-0.012
