,year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag,excl_hash,hr_bucket,hr1,hr2,hr3,hr4
154,2017,1,15,9,1/15/2017 14:02,Android,79850.0,15536,No picture/link,Yes,No,0,1,0,1,0,0
155,2017,1,15,8,1/15/2017 13:59,Android,80707.0,16499,No picture/link,No,No,1,1,0,1,0,0
156,2017,1,14,20,1/15/2017 1:58,Android,123712.0,25782,No picture/link,Yes,No,0,3,0,0,0,1
157,2017,1,14,19,1/15/2017 0:22,Android,97355.0,22567,No picture/link,Yes,No,0,3,0,0,0,1
158,2017,1,14,8,1/14/2017 13:14,Android,70012.0,19483,No picture/link,Yes,No,0,1,0,1,0,0
159,2017,1,14,8,1/14/2017 13:07,Android,78569.0,16968,No picture/link,Yes,No,0,1,0,1,0,0
160,2017,1,14,7,1/14/2017 12:50,Android,89870.0,21524,No picture/link,No,No,1,1,0,1,0,0
161,2017,1,13,6,1/13/2017 11:33,Android,132335.0,30771,No picture/link,Yes,No,0,1,0,1,0,0
162,2017,1,13,6,1/13/2017 11:25,Android,68708.0,13733,No picture/link,Yes,No,0,1,0,1,0,0
163,2017,1,13,6,1/13/2017 11:22,Android,59292.0,13030,No picture/link,No,No,1,1,0,1,0,0
164,2017,1,13,6,1/13/2017 11:16,Android,54886.0,12225,No picture/link,Yes,No,0,1,0,1,0,0
165,2017,1,13,6,1/13/2017 11:11,Android,55727.0,12715,No picture/link,Yes,No,0,1,0,1,0,0
166,2017,1,13,6,1/13/2017 11:05,Android,74061.0,17644,No picture/link,No,No,1,1,0,1,0,0
167,2017,1,13,5,1/13/2017 10:49,Android,82489.0,16990,No picture/link,Yes,No,0,0,1,0,0,0
168,2017,1,12,12,1/12/2017 17:41,iPhone,87704.0,19774,No picture/link,Yes,Yes,1,2,0,0,1,0
169,2017,1,12,9,1/12/2017 14:22,Android,130455.0,36202,No picture/link,Yes,No,0,1,0,1,0,0
170,2017,1,12,8,1/12/2017 13:50,Android,94396.0,21916,No picture/link,No,No,1,1,0,1,0,0
171,2017,1,12,7,1/12/2017 12:23,Android,73173.0,17556,No picture/link,Yes,No,0,1,0,1,0,0
172,2017,1,11,23,1/12/2017 4:24,Android,53317.0,9576,No picture/link,Yes,No,0,3,0,0,0,1
173,2017,1,11,23,1/12/2017 4:01,Android,120294.0,28863,No picture/link,No,No,1,3,0,0,0,1
174,2017,1,11,7,1/11/2017 12:48,Android,110330.0,32172,No picture/link,No,No,1,1,0,1,0,0
175,2017,1,11,7,1/11/2017 12:44,Android,117595.0,29361,No picture/link,Yes,No,0,1,0,1,0,0
176,2017,1,11,7,1/11/2017 12:31,Android,87215.0,23749,No picture/link,Yes,No,0,1,0,1,0,0
177,2017,1,11,7,1/11/2017 12:13,Android,67615.0,17905,No picture/link,Yes,No,0,1,0,1,0,0
178,2017,1,10,21,1/11/2017 2:00,iPhone,46380.0,15405,Picture/link,No,Yes,0,3,0,0,0,1
179,2017,1,10,20,1/11/2017 1:19,Android,96415.0,30156,No picture/link,Yes,No,0,3,0,0,0,1
180,2017,1,10,17,1/10/2017 22:30,iPhone,44213.0,10686,Picture/link,No,No,1,2,0,0,1,0
181,2017,1,10,15,1/10/2017 20:50,iPhone,50611.0,12059,Picture/link,No,No,1,2,0,0,1,0
182,2017,1,10,10,1/10/2017 15:26,iPhone,42797.0,11404,Picture/link,No,No,1,1,0,1,0,0
183,2017,1,9,21,1/10/2017 2:20,iPhone,94618.0,23530,Picture/link,Yes,Yes,1,3,0,0,0,1
184,2017,1,9,17,1/9/2017 22:32,iPhone,125750.0,25490,Picture/link,No,No,1,2,0,0,1,0
185,2017,1,9,9,1/9/2017 14:16,Android,111724.0,23981,No picture/link,Yes,No,0,1,0,1,0,0
186,2017,1,9,9,1/9/2017 14:14,Android,102825.0,23877,No picture/link,No,No,1,1,0,1,0,0
187,2017,1,9,6,1/9/2017 11:43,Android,70673.0,16504,No picture/link,Yes,No,0,1,0,1,0,0
188,2017,1,9,6,1/9/2017 11:36,Android,86005.0,21924,No picture/link,No,No,1,1,0,1,0,0
189,2017,1,9,6,1/9/2017 11:27,Android,125854.0,38551,No picture/link,No,No,1,1,0,1,0,0
190,2017,1,9,6,1/9/2017 11:17,Android,38470.0,7439,No picture/link,Yes,No,0,1,0,1,0,0
191,2017,1,8,11,1/8/2017 16:36,Android,29218.0,5507,Picture/link,Yes,No,0,1,0,1,0,0
192,2017,1,7,21,1/8/2017 2:07,Android,87015.0,17700,No picture/link,Yes,No,0,3,0,0,0,1
193,2017,1,7,18,1/7/2017 23:54,Android,66531.0,12387,No picture/link,No,No,1,3,0,0,0,1
194,2017,1,7,10,1/7/2017 15:21,Android,71606.0,16712,No picture/link,Yes,No,0,1,0,1,0,0
195,2017,1,7,10,1/7/2017 15:10,Android,80035.0,19091,No picture/link,No,No,1,1,0,1,0,0
196,2017,1,7,10,1/7/2017 15:02,Android,103173.0,30115,No picture/link,Yes,No,0,1,0,1,0,0
197,2017,1,7,7,1/7/2017 12:03,Android,85798.0,20206,No picture/link,Yes,No,0,1,0,1,0,0
198,2017,1,7,6,1/7/2017 11:56,Android,70529.0,18677,No picture/link,Yes,No,0,1,0,1,0,0
199,2017,1,6,22,1/7/2017 3:53,Android,69194.0,16764,No picture/link,Yes,No,0,3,0,0,0,1
200,2017,1,6,19,1/7/2017 0:07,iPhone,49207.0,7869,Picture/link,Yes,No,0,3,0,0,0,1
201,2017,1,6,11,1/6/2017 16:51,iPhone,94606.0,26427,No picture/link,No,No,1,1,0,1,0,0
202,2017,1,6,9,1/6/2017 14:18,iPhone,35637.0,6595,No picture/link,No,No,1,1,0,1,0,0
203,2017,1,6,7,1/6/2017 12:42,Android,41934.0,9022,No picture/link,No,No,1,1,0,1,0,0
204,2017,1,6,7,1/6/2017 12:34,Android,39824.0,9542,No picture/link,No,No,1,1,0,1,0,0
205,2017,1,6,7,1/6/2017 12:05,Android,67485.0,14703,No picture/link,Yes,No,0,1,0,1,0,0
206,2017,1,6,6,1/6/2017 11:45,Android,42439.0,8436,No picture/link,No,No,1,1,0,1,0,0
207,2017,1,6,6,1/6/2017 11:39,Android,52427.0,10783,No picture/link,No,No,1,1,0,1,0,0
208,2017,1,6,6,1/6/2017 11:19,Android,67262.0,19548,No picture/link,Yes,No,0,1,0,1,0,0
209,2017,1,5,19,1/6/2017 0:40,Android,72486.0,21122,No picture/link,No,No,1,3,0,0,0,1
210,2017,1,5,19,1/6/2017 0:30,Android,58355.0,19107,No picture/link,No,No,1,3,0,0,0,1
211,2017,1,5,19,1/6/2017 0:24,Android,69519.0,21023,No picture/link,Yes,No,0,3,0,0,0,1
212,2017,1,5,13,1/5/2017 18:14,Android,110144.0,33038,No picture/link,Yes,No,0,2,0,0,1,0
213,2017,1,5,8,1/5/2017 13:45,Android,69260.0,15662,No picture/link,Yes,No,0,1,0,1,0,0
214,2017,1,5,8,1/5/2017 13:25,Android,63747.0,16658,No picture/link,No,No,1,1,0,1,0,0
215,2017,1,5,7,1/5/2017 12:06,Android,79715.0,16895,No picture/link,Yes,No,0,1,0,1,0,0
216,2017,1,5,7,1/5/2017 12:01,Android,52748.0,12517,No picture/link,Yes,No,0,1,0,1,0,0
217,2017,1,5,6,1/5/2017 11:57,Android,54399.0,13365,No picture/link,No,No,1,1,0,1,0,0
218,2017,1,4,9,1/4/2017 14:26,Android,55718.0,13856,No picture/link,Yes,No,0,1,0,1,0,0
219,2017,1,4,9,1/4/2017 14:01,Android,47432.0,11439,No picture/link,No,No,1,1,0,1,0,0
220,2017,1,4,8,1/4/2017 13:55,Android,47168.0,11370,No picture/link,No,No,1,1,0,1,0,0
221,2017,1,4,8,1/4/2017 13:31,Android,47580.0,10982,No picture/link,Yes,No,0,1,0,1,0,0
222,2017,1,4,8,1/4/2017 13:27,Android,43547.0,10490,No picture/link,No,No,1,1,0,1,0,0
223,2017,1,4,8,1/4/2017 13:19,Android,88327.0,20026,No picture/link,No,No,1,1,0,1,0,0
224,2017,1,4,8,1/4/2017 13:10,Android,43009.0,15121,Picture/link,No,Yes,0,1,0,1,0,0
225,2017,1,4,7,1/4/2017 12:22,Android,62376.0,18517,No picture/link,Yes,No,0,1,0,1,0,0
226,2017,1,3,20,1/4/2017 1:14,Android,81920.0,23997,No picture/link,Yes,No,0,3,0,0,0,1
227,2017,1,3,18,1/3/2017 23:58,Android,59480.0,14959,No picture/link,No,No,1,3,0,0,0,1
228,2017,1,3,13,1/3/2017 18:44,iPhone,54223.0,14369,Picture/link,No,No,1,2,0,0,1,0
229,2017,1,3,12,1/3/2017 17:20,Android,84463.0,21074,No picture/link,No,No,1,2,0,0,1,0
230,2017,1,3,12,1/3/2017 17:00,iPhone,55696.0,12967,Picture/link,No,No,1,2,0,0,1,0
231,2017,1,3,11,1/3/2017 16:44,iPhone,53945.0,15971,Picture/link,No,No,1,1,0,1,0,0
232,2017,1,3,10,1/3/2017 15:07,Android,43625.0,9745,No picture/link,Yes,Yes,1,1,0,1,0,0
233,2017,1,3,10,1/3/2017 15:03,Android,43892.0,11080,No picture/link,No,No,1,1,0,1,0,0
234,2017,1,3,7,1/3/2017 12:51,Android,54405.0,12870,No picture/link,Yes,No,0,1,0,1,0,0
235,2017,1,3,7,1/3/2017 12:46,Android,59960.0,14774,No picture/link,No,No,1,1,0,1,0,0
236,2017,1,3,7,1/3/2017 12:30,Android,74593.0,19308,No picture/link,Yes,No,0,1,0,1,0,0
237,2017,1,2,18,1/2/2017 23:47,Android,65866.0,17924,No picture/link,Yes,No,0,3,0,0,0,1
238,2017,1,2,18,1/2/2017 23:05,Android,93571.0,26726,No picture/link,Yes,No,0,3,0,0,0,1
239,2017,1,2,13,1/2/2017 18:44,Android,64068.0,13764,No picture/link,No,No,1,2,0,0,1,0
240,2017,1,2,13,1/2/2017 18:37,Android,48270.0,9255,No picture/link,No,No,1,2,0,0,1,0
